Date,Inflation
01-12-48,2.7
01-03-49,2.6
01-06-49,2.6
01-09-49,2.5
01-12-49,0
01-03-50,2.4
01-06-50,2.4
01-09-50,2.3
01-12-50,4.5
01-03-51,4.3
01-06-51,6.3
01-09-51,3.9
01-12-51,7.5
01-03-52,3.5
01-06-52,3.4
01-09-52,1.6
01-12-52,1.6
01-03-53,0
01-06-53,1.6
01-09-53,1.6
01-12-53,-1.5
01-03-54,1.6
01-06-54,0
01-09-54,0
01-12-54,0
01-03-55,0
01-06-55,1.5
01-09-55,0
01-12-55,1.5
01-03-56,0
01-06-56,4.5
01-09-56,1.4
01-12-56,0
01-03-57,0
01-06-57,1.4
01-09-57,0
01-12-57,0
01-03-58,0
01-06-58,0
01-09-58,0
01-12-58,1.4
01-03-59,0
01-06-59,0
01-09-59,1.4
01-12-59,1.4
01-03-60,0
01-06-60,1.3
01-09-60,1.3
01-12-60,1.3
01-03-61,0
01-06-61,1.3
01-09-61,-1.3
01-12-61,0
01-03-62,0
01-06-62,0
01-09-62,0
01-12-62,0
01-03-63,0
01-06-63,0
01-09-63,1.3
01-12-63,0
01-03-64,1.3
01-06-64,0
01-09-64,1.3
01-12-64,1.2
01-03-65,0
01-06-65,1.2
01-09-65,1.2
01-12-65,1.2
01-03-66,1.2
01-06-66,0
01-09-66,0
01-12-66,1.2
01-03-67,1.1
01-06-67,1.1
01-09-67,1.1
01-12-67,0
01-03-68,1.1
01-06-68,0
01-09-68,1.1
01-12-68,0
01-03-69,2.2
01-06-69,0
01-09-69,1.1
01-12-69,0
01-03-70,1.1
01-06-70,1
01-09-70,1
01-12-70,2
01-03-71,1
01-06-71,1
01-09-71,2.9
01-12-71,1.9
01-03-72,0.9
01-06-72,0.9
01-09-72,1.8
01-12-72,0.9
01-03-73,1.8
01-06-73,3.5
01-09-73,3.4
01-12-73,3.3
01-03-74,3.2
01-06-74,3.8
01-09-74,5.2
01-12-74,3.5
01-03-75,4.1
01-06-75,3.3
01-09-75,0.6
01-12-75,5.7
01-03-76,3
01-06-76,2.3
01-09-76,2.3
01-12-76,6.1
01-03-77,2.1
01-06-77,2.6
01-09-77,2
01-12-77,2.4
01-03-78,1.4
01-06-78,1.9
01-09-78,1.8
01-12-78,2.3
01-03-79,1.8
01-06-79,2.6
01-09-79,2.5
01-12-79,2.9
01-03-80,2
01-06-80,3.1
01-09-80,1.5
01-12-80,2.3
01-03-81,2.2
01-06-81,2.2
01-09-81,2.1
01-12-81,4.1
01-03-82,2
01-06-82,2.3
01-09-82,3.5
01-12-82,3.1
01-03-83,2.1
01-06-83,2
01-09-83,1.7
01-12-83,2.5
01-03-84,-0.5
01-06-84,0.3
01-09-84,1.4
01-12-84,1.4
01-03-85,1.3
01-06-85,2.4
01-09-85,2.3
01-12-85,2
01-03-86,2.2
01-06-86,1.7
01-09-86,2.6
01-12-86,2.8
01-03-87,2
01-06-87,1.5
01-09-87,1.7
01-12-87,1.7
01-03-88,1.7
01-06-88,1.9
01-09-88,1.8
01-12-88,2
01-03-89,1
01-06-89,2.5
01-09-89,2.3
01-12-89,1.8
01-03-90,1.8
01-06-90,1.6
01-09-90,0.7
01-12-90,2.6
01-03-91,-0.2
01-06-91,0.2
01-09-91,0.5
01-12-91,1
01-03-92,0
01-06-92,-0.3
01-09-92,0.2
01-12-92,0.5
01-03-93,0.8
01-06-93,0.3
01-09-93,0.5
01-12-93,0.2
01-03-94,0.5
01-06-94,0.7
01-09-94,0.6
01-12-94,0.8
01-03-95,1.6
01-06-95,1.4
01-09-95,1.2
01-12-95,0.8
01-03-96,0.3
01-06-96,0.8
01-09-96,0.3
01-12-96,0.1
01-03-97,0.1
01-06-97,-0.3
01-09-97,-0.4
01-12-97,0.3
01-03-98,0.3
01-06-98,0.6
01-09-98,0.1
01-12-98,0.4
01-03-99,0
01-06-99,0.4
01-09-99,0.9
01-12-99,0.6
01-03-00,0.9
01-06-00,0.7
01-09-00,3.8
01-12-00,0.3
01-03-01,1.1
01-06-01,0.8
01-09-01,0.3
01-12-01,0.9
01-03-02,0.9
01-06-02,0.7
01-09-02,0.7
01-12-02,0.6
01-03-03,1.3
01-06-03,0
01-09-03,0.6
01-12-03,0.5
01-03-04,0.9
01-06-04,0.5
01-09-04,0.4
01-12-04,0.7
01-03-05,0.7
01-06-05,0.6
01-09-05,1
01-12-05,0.5
01-03-06,0.8
01-06-06,1.7
01-09-06,0.9
01-12-06,-0.1
01-03-07,0
01-06-07,1.3
01-09-07,0.7
01-12-07,0.9
01-03-08,1.3
01-06-08,1.4
01-09-08,1.2
01-12-08,-0.3
01-03-09,0.1
01-06-09,0.4
01-09-09,1
01-12-09,0.5
01-03-10,1
01-06-10,0.6
01-09-10,0.7
01-12-10,0.4
01-03-11,1.4
01-06-11,0.9
01-09-11,0.6
01-12-11,0
01-03-12,0.1
01-06-12,0.5
01-09-12,1.4
01-12-12,0.2
01-03-13,0.4
01-06-13,0.4
01-09-13,1.2
01-12-13,0.8
01-03-14,0.6
01-06-14,0.5
01-09-14,0.5
01-12-14,0.2
01-03-15,0.2
01-06-15,0.7
01-09-15,0.5
01-12-15,0.4
01-03-16,-0.2
01-06-16,0.4
01-09-16,0.7
01-12-16,0.5
01-03-17,0.5
01-06-17,0.2
